IssueId,IssueKee,IssueType,RuleId,Severity,Message,FileName
113237,AXI_Qj5zSfYPAADgXGet,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""timescale"" 4 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113238,AXI_Qj5zSfYPAADgXGeu,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""SegmentTemplate"" 4 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113239,AXI_Qj5zSfYPAADgXGev,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""presentationTimeOffset"" 3 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113240,AXI_Qj5zSfYPAADgXGew,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""AudioChannelConfiguration"" 3 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113241,AXI_Qj5zSfYPAADgXGex,CodeSmell,1457,CRITICAL,"Define a constant instead of duplicating this literal ""ContentProtection"" 3 times.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113242,AXI_Qj5zSfYPAADgXGey,CodeSmell,1509,MAJOR,"Method has 12 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113243,AXI_Qj5zSfYPAADgXGez,CodeSmell,1509,MAJOR,"Method has 15 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113244,AXI_Qj5zSfYPAADgXGe0,CodeSmell,1509,MAJOR,"Method has 13 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113245,AXI_Qj5zSfYPAADgXGe1,CodeSmell,1509,MAJOR,"Method has 9 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113246,AXI_Qj5zSfYPAADgXGe2,CodeSmell,1524,MAJOR,Define and throw a dedicated exception instead of using a generic one.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113247,AXI_Qj5zSfYPAADgXGe3,SecurityHotspot,1751,CRITICAL,Make sure that using a regular expression is safe here.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113248,AXI_Qj5zSfYPAADgXGe4,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 34 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113249,AXI_Qj5zSfYPAADgXGe5,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113250,AXI_Qj5zSfYPAADgXGe6,CodeSmell,1829,MAJOR,Extract this nested ternary operation into an independent statement.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
