Filename,Size,Complexity,Revisions,Design Smells,Dependent Partners,Depends on Partners,Total Dependencies,CoChange Partners,Bug Commits,Refactoring operations,Churn,TotalIssues,Clique,Crossing,IsCenter,ModularityViolation,PackageCycle,UnhealthyInheritance,UnstableInterface,isUnstableInterface,PresentInIssues,SqIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecuritySpots
load-harness.src.main.java.net.openhft.load.Publisher_java,61,11,1,0,1,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.ResultGenerator_java,253,46,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.RollTimeCalculator_java,12,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.StageMain_java,48,9,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.Stage_java,51,13,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.config.ConfigParser_java,68,17,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.config.PublisherConfig_java,16,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.config.StageConfig_java,19,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.messages.EightyByteMessage_java,17,1,1,1,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load-harness.src.main.java.net.openhft.load.messages.Sizer_java,12,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.BenchmarkMain_java,148,19,1,0,3,4,7,0,0,0,31,1,0,0,0,0,1,0,0,0,1,21,17,4,0,0
src.main.java.net.openhft.chronicle.queue.BufferMode_java,0,0,2,0,5,0,5,0,0,0,12,1,0,0,0,0,1,0,0,0,1,3,3,0,0,0
src.main.java.net.openhft.chronicle.queue.ChronicleHistoryReaderMain_java,58,12,2,1,3,2,5,0,0,0,31,2,0,0,0,0,2,0,0,0,1,3,2,0,0,1
src.main.java.net.openhft.chronicle.queue.ChronicleQueue_java,202,29,8,1,31,4,35,2,0,0,269,5,1,0,0,0,3,1,0,0,3,2,2,0,0,0
src.main.java.net.openhft.chronicle.queue.ChronicleReaderMain_java,91,18,3,0,4,1,5,0,0,0,30,2,0,0,0,0,2,0,0,0,1,5,4,0,0,1
src.main.java.net.openhft.chronicle.queue.CycleCalculator_java,3,1,0,0,3,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.DefaultCycleCalculator_java,0,0,0,0,3,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.DumpQueueMain_java,72,17,2,0,3,2,5,0,0,0,17,1,0,0,0,0,1,0,0,0,1,6,5,0,0,1
src.main.java.net.openhft.chronicle.queue.ExcerptAppender_java,78,10,6,1,20,3,23,0,0,0,119,2,1,0,0,0,1,0,0,0,2,4,4,0,0,0
src.main.java.net.openhft.chronicle.queue.ExcerptCommon_java,17,2,1,1,5,1,6,0,0,0,16,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.ExcerptTailer_java,112,17,9,2,20,4,24,2,0,0,171,2,0,0,0,0,2,0,0,0,1,2,2,0,0,0
src.main.java.net.openhft.chronicle.queue.JDBCComponent_java,40,8,0,0,4,2,6,0,0,0,0,2,0,0,0,0,1,1,0,0,2,3,2,1,0,0
src.main.java.net.openhft.chronicle.queue.JDBCResult_java,6,4,1,0,5,0,5,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.JDBCService_java,39,7,1,1,3,6,9,0,0,0,4,2,0,0,0,0,1,1,0,0,2,1,1,0,0,0
src.main.java.net.openhft.chronicle.queue.JDBCStatement_java,4,2,1,0,5,0,5,0,0,0,4,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.NoMessageHistory_java,0,0,3,0,3,0,3,0,0,0,12,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.PretouchHandler_java,21,5,2,1,3,2,5,0,0,0,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.QueueOffsetSpec_java,92,25,0,0,3,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0
src.main.java.net.openhft.chronicle.queue.QueueUnlockMain_java,37,5,0,0,3,8,11,0,0,0,0,3,0,0,0,0,2,1,0,0,2,5,3,0,1,1
src.main.java.net.openhft.chronicle.queue.RollCycle_java,45,8,3,0,12,0,12,0,0,0,75,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.RollCycles_java,0,0,7,0,6,0,6,1,0,0,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.RollDetails_java,21,6,1,0,4,0,4,0,0,0,4,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.TailerDirection_java,0,0,1,0,7,0,7,0,0,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.TailerState_java,0,0,1,0,4,0,4,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.backed.map.QueueBackedMaps_java,40,6,2,1,0,1,1,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src.main.java.net.openhft.chronicle.queue.backed.map.QueueEvents_java,22,4,2,0,1,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
