entity,coupled,cochanges
src/org/jgroups/blocks/TCPConnectionMap.java,tests/junit-functional/org/jgroups/tests/MergeTest2.java,3
src/org/jgroups/blocks/TCPConnectionMap.java,tests/junit-functional/org/jgroups/tests/MergeTest3.java,3
src/org/jgroups/blocks/TCPConnectionMap.java,tests/junit-functional/org/jgroups/tests/RSVPTest.java,3
src/org/jgroups/protocols/BPING.java,src/org/jgroups/protocols/FD_SOCK.java,3
src/org/jgroups/protocols/BPING.java,src/org/jgroups/protocols/MPING.java,3
src/org/jgroups/protocols/BPING.java,src/org/jgroups/protocols/TCP.java,3
src/org/jgroups/protocols/BPING.java,src/org/jgroups/protocols/TP.java,3
src/org/jgroups/protocols/BPING.java,src/org/jgroups/stack/GossipRouter.java,3
src/org/jgroups/protocols/BPING.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/protocols/BPING.java,src/org/jgroups/util/Util.java,3
src/org/jgroups/protocols/BPING.java,tests/junit-functional/org/jgroups/blocks/ConnectionMapTest.java,3
src/org/jgroups/protocols/BPING.java,tests/junit-functional/org/jgroups/tests/ConnectionMapUnitTest.java,3
src/org/jgroups/protocols/BPING.java,tests/junit-functional/org/jgroups/tests/LargeMergeTest.java,3
src/org/jgroups/protocols/BPING.java,tests/junit-functional/org/jgroups/tests/MergeTest2.java,3
src/org/jgroups/protocols/BPING.java,tests/junit-functional/org/jgroups/tests/MergeTest3.java,3
src/org/jgroups/protocols/BPING.java,tests/junit-functional/org/jgroups/tests/RSVPTest.java,3
src/org/jgroups/protocols/BasicTCP.java,src/org/jgroups/protocols/TCP.java,5
src/org/jgroups/protocols/DISCARD.java,src/org/jgroups/protocols/TP.java,4
src/org/jgroups/protocols/DISCARD.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/protocols/DISCARD.java,tests/junit-functional/org/jgroups/tests/MessageBatchTest.java,3
src/org/jgroups/protocols/Discovery.java,src/org/jgroups/protocols/TP.java,5
src/org/jgroups/protocols/Discovery.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/protocols/FD.java,src/org/jgroups/protocols/FD_ALL.java,4
src/org/jgroups/protocols/FD.java,src/org/jgroups/protocols/MERGE3.java,3
src/org/jgroups/protocols/FD.java,src/org/jgroups/util/Util.java,4
src/org/jgroups/protocols/FD.java,tests/junit-functional/org/jgroups/tests/FdMonitorTest.java,4
src/org/jgroups/protocols/FD_ALL.java,src/org/jgroups/protocols/MERGE3.java,3
src/org/jgroups/protocols/FD_SOCK.java,src/org/jgroups/protocols/TCP.java,4
src/org/jgroups/protocols/FD_SOCK.java,src/org/jgroups/protocols/TP.java,5
src/org/jgroups/protocols/FD_SOCK.java,src/org/jgroups/util/Util.java,3
src/org/jgroups/protocols/FD_SOCK.java,tests/junit-functional/org/jgroups/blocks/ConnectionMapTest.java,4
src/org/jgroups/protocols/FD_SOCK.java,tests/junit-functional/org/jgroups/tests/ConnectionMapUnitTest.java,4
src/org/jgroups/protocols/FORWARD_TO_COORD.java,src/org/jgroups/protocols/pbcast/ParticipantGmsImpl.java,3
src/org/jgroups/protocols/FORWARD_TO_COORD.java,src/org/jgroups/protocols/relay/RELAY2.java,5
src/org/jgroups/protocols/FORWARD_TO_COORD.java,src/org/jgroups/util/ForwardQueue.java,7
src/org/jgroups/protocols/FORWARD_TO_COORD.java,tests/junit-functional/org/jgroups/protocols/FORWARD_TO_COORD_Test.java,6
src/org/jgroups/protocols/MPING.java,src/org/jgroups/protocols/TCP.java,3
src/org/jgroups/protocols/MPING.java,src/org/jgroups/protocols/TP.java,3
src/org/jgroups/protocols/MPING.java,src/org/jgroups/stack/GossipRouter.java,3
src/org/jgroups/protocols/MPING.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/protocols/MPING.java,src/org/jgroups/util/Util.java,4
src/org/jgroups/protocols/MPING.java,tests/junit-functional/org/jgroups/blocks/ConnectionMapTest.java,3
src/org/jgroups/protocols/MPING.java,tests/junit-functional/org/jgroups/tests/ConnectionMapUnitTest.java,3
src/org/jgroups/protocols/MPING.java,tests/junit-functional/org/jgroups/tests/LargeMergeTest.java,3
src/org/jgroups/protocols/MPING.java,tests/junit-functional/org/jgroups/tests/MergeTest2.java,3
src/org/jgroups/protocols/MPING.java,tests/junit-functional/org/jgroups/tests/MergeTest3.java,3
src/org/jgroups/protocols/MPING.java,tests/junit-functional/org/jgroups/tests/RSVPTest.java,3
src/org/jgroups/protocols/RSVP.java,src/org/jgroups/util/AckCollector.java,3
src/org/jgroups/protocols/RSVP.java,tests/junit-functional/org/jgroups/tests/AckCollectorTest.java,3
src/org/jgroups/protocols/SCOPE.java,src/org/jgroups/protocols/TP.java,5
src/org/jgroups/protocols/SCOPE.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/protocols/SCOPE.java,src/org/jgroups/util/DefaultThreadFactory.java,4
src/org/jgroups/protocols/SCOPE.java,src/org/jgroups/util/Util.java,3
src/org/jgroups/protocols/SEQUENCER.java,tests/byteman/org/jgroups/tests/byteman/SequencerFailoverTest.java,5
src/org/jgroups/protocols/SEQUENCER.java,tests/junit/org/jgroups/tests/SequencerMergeTest.java,6
src/org/jgroups/protocols/SEQUENCER.java,tests/junit/org/jgroups/tests/SequencerOrderTest.java,8
src/org/jgroups/protocols/TCP.java,src/org/jgroups/protocols/TP.java,6
src/org/jgroups/protocols/TCP.java,src/org/jgroups/stack/GossipRouter.java,3
src/org/jgroups/protocols/TCP.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/protocols/TCP.java,src/org/jgroups/util/Util.java,4
src/org/jgroups/protocols/TCP.java,tests/junit-functional/org/jgroups/blocks/ConnectionMapTest.java,5
src/org/jgroups/protocols/TCP.java,tests/junit-functional/org/jgroups/tests/ConnectionMapUnitTest.java,6
src/org/jgroups/protocols/TCP.java,tests/junit-functional/org/jgroups/tests/LargeMergeTest.java,3
src/org/jgroups/protocols/TCP.java,tests/junit-functional/org/jgroups/tests/MergeTest2.java,3
src/org/jgroups/protocols/TCP.java,tests/junit-functional/org/jgroups/tests/MergeTest3.java,3
src/org/jgroups/protocols/TCP.java,tests/junit-functional/org/jgroups/tests/RSVPTest.java,3
src/org/jgroups/protocols/TP.java,src/org/jgroups/protocols/UNICAST2.java,4
src/org/jgroups/protocols/TP.java,src/org/jgroups/protocols/pbcast/NAKACK.java,4
src/org/jgroups/protocols/TP.java,src/org/jgroups/protocols/pbcast/NAKACK2.java,8
src/org/jgroups/protocols/TP.java,src/org/jgroups/protocols/relay/RELAY2.java,5
src/org/jgroups/protocols/TP.java,src/org/jgroups/protocols/relay/Relayer.java,5
src/org/jgroups/protocols/TP.java,src/org/jgroups/stack/DiagnosticsHandler.java,3
src/org/jgroups/protocols/TP.java,src/org/jgroups/stack/GossipRouter.java,4
src/org/jgroups/protocols/TP.java,src/org/jgroups/stack/Protocol.java,7
src/org/jgroups/protocols/TP.java,src/org/jgroups/util/DefaultThreadFactory.java,4
src/org/jgroups/protocols/TP.java,src/org/jgroups/util/DefaultTimeScheduler.java,3
src/org/jgroups/protocols/TP.java,src/org/jgroups/util/MessageBatch.java,5
src/org/jgroups/protocols/TP.java,src/org/jgroups/util/Table.java,3
src/org/jgroups/protocols/TP.java,src/org/jgroups/util/TimeScheduler.java,3
src/org/jgroups/protocols/TP.java,src/org/jgroups/util/TimeScheduler2.java,3
src/org/jgroups/protocols/TP.java,src/org/jgroups/util/Util.java,12
src/org/jgroups/protocols/TP.java,tests/junit-functional/org/jgroups/blocks/ConnectionMapTest.java,5
src/org/jgroups/protocols/TP.java,tests/junit-functional/org/jgroups/tests/ConnectionMapUnitTest.java,6
src/org/jgroups/protocols/TP.java,tests/junit-functional/org/jgroups/tests/LargeMergeTest.java,3
src/org/jgroups/protocols/TP.java,tests/junit-functional/org/jgroups/tests/MergeTest2.java,3
src/org/jgroups/protocols/TP.java,tests/junit-functional/org/jgroups/tests/MergeTest3.java,3
src/org/jgroups/protocols/TP.java,tests/junit-functional/org/jgroups/tests/MessageBatchTest.java,4
src/org/jgroups/protocols/TP.java,tests/junit-functional/org/jgroups/tests/RSVPTest.java,5
src/org/jgroups/protocols/TP.java,tests/junit-functional/org/jgroups/tests/Relay2Test.java,4
src/org/jgroups/protocols/TP.java,tests/other/org/jgroups/tests/Probe.java,3
src/org/jgroups/protocols/UNICAST.java,src/org/jgroups/protocols/UNICAST2.java,4
src/org/jgroups/protocols/UNICAST2.java,src/org/jgroups/protocols/pbcast/NAKACK2.java,9
src/org/jgroups/protocols/UNICAST2.java,src/org/jgroups/stack/Protocol.java,3
src/org/jgroups/protocols/UNICAST2.java,src/org/jgroups/util/Util.java,4
src/org/jgroups/protocols/UNICAST2.java,tests/junit-functional/org/jgroups/protocols/UNICAST2_Test.java,4
src/org/jgroups/protocols/pbcast/ClientGmsImpl.java,src/org/jgroups/protocols/pbcast/GMS.java,4
src/org/jgroups/protocols/pbcast/ClientGmsImpl.java,src/org/jgroups/protocols/pbcast/NAKACK2.java,3
src/org/jgroups/protocols/pbcast/CoordGmsImpl.java,src/org/jgroups/protocols/pbcast/GMS.java,5
src/org/jgroups/protocols/pbcast/CoordGmsImpl.java,src/org/jgroups/protocols/pbcast/JoinRsp.java,3
src/org/jgroups/protocols/pbcast/GMS.java,src/org/jgroups/protocols/pbcast/JoinRsp.java,3
